sku_id,id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,item_group_id,custom_label_0
B093RP1VT2,B093RP1VT2,"Marine Spirits: Diagnosis and Deliverance","Diagnóstico e libertação de espíritos marinhos; identificação de presença demoníaca e proteção espiritual contra forças aquáticas.",in stock,new,9.90 EUR,https://amzn.to/4lv1joR,https://images-na.ssl-images-amazon.com/images/P/B093RP1VT2.01.LZZZZZZZ.jpg,Rumo à Nova Jerusalém,784,"Livros > Batalha Espiritual & Libertação",nova-jerusalem-livros,Batalha Espiritual
como-destruir-o-altar-satanico,como-destruir-o-altar-satanico,"Como Destruir o Altar Satânico","Como identificar, destruir e romper pactos de altares satânicos; orações e proteção espiritual.",in stock,new,9.90 EUR,https://amzn.to/4s8Uj3B,https://m.media-amazon.com/images/I/61VZRtUidZL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Batalha Espiritual & Libertação",nova-jerusalem-livros,Batalha Espiritual
147755677X,147755677X,"How To Break Generational Curses","Como quebrar maldições generacionais; livramento espiritual e cura familiar.",in stock,new,9.90 EUR,https://www.amazon.com.br/Break-Generational-Curses-Henry-Otasowere/dp/147755677X/,https://m.media-amazon.com/images/I/61FRIuaMwcL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Batalha Espiritual & Libertação",nova-jerusalem-livros,Batalha Espiritual
a-conta-bancaria-espiritual,a-conta-bancaria-espiritual,"A Conta Bancária Espiritual","Princípios de prosperidade espiritual e gestão de depósitos e levantamentos no reino espiritual.",in stock,new,9.90 EUR,https://amzn.to/4doDVrb,https://m.media-amazon.com/images/I/61Yysb5c0eL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
the-airdrops-bible,the-airdrops-bible,"The Airdrops Bible","Guia completo sobre airdrops em criptomoedas; estratégias práticas para captação de tokens.",in stock,new,9.90 EUR,https://amzn.to/4ryHSwS,https://m.media-amazon.com/images/I/6101mGF4aJL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
B0BW341975,B0BW341975,"Power of Compounding","O Poder dos Juros Compostos: Alcançando o Crescimento Exponencial da Riqueza através de Estratégias.",in stock,new,9.90 EUR,https://www.amazon.com.br/POWER-COMPOUNDING-Exponential-Investment-Strategies/dp/B0BW341975/,https://m.media-amazon.com/images/I/61l5z45qVmL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
1451560001,1451560001,"A Lei da Contribuição","Princípios bíblicos da contribuição e da semeadura financeira; como a generosidade activa bênção.",in stock,new,9.90 EUR,https://www.amazon.com.br/dp/1451560001,https://m.media-amazon.com/images/I/61xIj3WQmrL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
B0BW23B2NB,B0BW23B2NB,"Crypto Staking","Renda passiva com staking de criptomoedas; estratégias e plataformas.",in stock,new,9.90 EUR,https://www.amazon.com.br/Crypto-Staking-Passive-Income-Another/dp/B0BW23B2NB/,https://m.media-amazon.com/images/I/71A2Zf-8zuL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
a-lei-do-pensamento,a-lei-do-pensamento,"A Lei do Pensamento","Como os pensamentos moldam a realidade espiritual e material; reprogramação mental à luz da fé.",in stock,new,9.90 EUR,https://amzn.to/4ltwxwJ,https://m.media-amazon.com/images/I/61JfAyXgUcL._AC_UY218_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
B0BYLSCPVJ,B0BYLSCPVJ,"The Millionaire's Mindset","Reprogramação mental para sucesso financeiro; mentalidade de prosperidade e renda passiva.",in stock,new,9.90 EUR,https://www.amazon.com.br/Millionaires-Mindset-Reprogram-Passive-Success/dp/B0BYLSCPVJ/,https://m.media-amazon.com/images/I/61GF3S2uIJL._SY425_.jpg,Rumo à Nova Jerusalém,784,"Livros > Sucesso, Finanças & Mentalidade",nova-jerusalem-livros,Sucesso e Finanças
